"unitid","institution name","year","S2020_IS.Instructional staff category","S2020_IS.Grand total","S2020_IS.Grand total men","S2020_IS.Grand total women","S2020_IS.American Indian or Alaska Native total","S2020_IS.American Indian or Alaska Native men","S2020_IS.American Indian or Alaska Native women","S2020_IS.Asian total","S2020_IS.Asian men","S2020_IS.Asian women","S2020_IS.Black or African American total","S2020_IS.Black or African American men","S2020_IS.Black or African American women","S2020_IS.Hispanic or Latino total","S2020_IS.Hispanic or Latino men","S2020_IS.Hispanic or Latino women","S2020_IS.Native Hawaiian or Other Pacific Islander total","S2020_IS.Native Hawaiian or Other Pacific Islander men","S2020_IS.Native Hawaiian or Other Pacific Islander women","S2020_IS.White total","S2020_IS.White men","S2020_IS.White women","S2020_IS.Two or more races total","S2020_IS.Two or more races men","S2020_IS.Two or more races women","S2020_IS.Race/ethnicity unknown total","S2020_IS.Race/ethnicity unknown men","S2020_IS.Race/ethnicity unknown women","S2020_IS.Nonresident alien total","S2020_IS.Nonresident alien men","S2020_IS.Nonresident alien women","IDX_HR"
"109350","Antelope Valley College","2020","Tenured total","122","70","52","1","1","0","10","7","3","12","5","7","14","9","5","1","0","1","78","44","34","5","3","2","1","1","0","0","0","0","-2"
"109350","Antelope Valley College","2020","Tenured, professors","45","22","23","1","1","0","2","0","2","4","0","4","7","5","2","0","0","0","29","15","14","2","1","1","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","Tenured, associate professors","67","43","24","0","0","0","8","7","1","6","5","1","4","3","1","1","0","1","46","27","19","1","0","1","1","1","0","0","0","0","-2"
"109350","Antelope Valley College","2020","Tenured, instructors","7","3","4","0","0","0","0","0","0","2","0","2","1","0","1","0","0","0","3","2","1","1","1","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","Tenured, no academic rank","3","2","1","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","On-Tenure track total","36","20","16","0","0","0","2","0","2","3","1","2","3","1","2","2","0","2","21","17","4","3","1","2","2","0","2","0","0","0","-2"
"109350","Antelope Valley College","2020","On-tenure track, professors","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","On-tenure track, instructors","11","6","5","0","0","0","2","0","2","1","0","1","1","1","0","0","0","0","5","5","0","1","0","1","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2020","On-tenure track, no academic rank","24","14","10","0","0","0","0","0","0","2","1","1","2","0","2","1","0","1","16","12","4","2","1","1","1","0","1","0","0","0","-2"
"109785","Azusa Pacific University","2020","Not on tenure track/No tenure system system total","447","189","258","2","1","1","61","23","38","30","8","22","35","14","21","3","2","1","283","124","159","8","3","5","25","14","11","0","0","0","-2"
"109785","Azusa Pacific University","2020","Not on tenure/no tenure system, professors","141","83","58","1","1","0","18","10","8","8","4","4","8","4","4","1","0","1","95","56","39","0","0","0","10","8","2","0","0","0","-2"
"109785","Azusa Pacific University","2020","Not on tenure/no tenure system, associate professors","120","54","66","1","0","1","20","10","10","11","2","9","8","3","5","0","0","0","73","36","37","0","0","0","7","3","4","0","0","0","-2"
"109785","Azusa Pacific University","2020","Not on tenure/no tenure system, assistant professors","166","49","117","0","0","0","19","2","17","11","2","9","18","7","11","2","2","0","102","30","72","7","3","4","7","3","4","0","0","0","-2"
"109785","Azusa Pacific University","2020","Not on tenure/no tenure system, instructors","20","3","17","0","0","0","4","1","3","0","0","0","1","0","1","0","0","0","13","2","11","1","0","1","1","0","1","0","0","0","-2"
"109819","Bakersfield College","2020","Tenured total","196","103","93","2","1","1","7","4","3","6","4","2","33","11","22","0","0","0","131","75","56","8","5","3","4","2","2","5","1","4","-2"
"109819","Bakersfield College","2020","Tenured, instructors","196","103","93","2","1","1","7","4","3","6","4","2","33","11","22","0","0","0","131","75","56","8","5","3","4","2","2","5","1","4","-2"
"109819","Bakersfield College","2020","On-Tenure track total","114","61","53","1","1","0","2","1","1","7","6","1","29","15","14","0","0","0","69","34","35","4","3","1","0","0","0","2","1","1","-2"
"109819","Bakersfield College","2020","On-tenure track, instructors","114","61","53","1","1","0","2","1","1","7","6","1","29","15","14","0","0","0","69","34","35","4","3","1","0","0","0","2","1","1","-2"
"109819","Bakersfield College","2020","Not on tenure track/No tenure system system total","40","19","21","1","1","0","1","0","1","4","3","1","10","2","8","0","0","0","20","11","9","4","2","2","0","0","0","0","0","0","-2"
"109819","Bakersfield College","2020","Not on tenure/no tenure system, instructors","40","19","21","1","1","0","1","0","1","4","3","1","10","2","8","0","0","0","20","11","9","4","2","2","0","0","0","0","0","0","-2"
"110361","California Baptist University","2020","Tenured total","153","86","67","0","0","0","26","17","9","1","0","1","8","3","5","1","0","1","112","64","48","3","1","2","2","1","1","0","0","0","-2"
"110361","California Baptist University","2020","Tenured, professors","95","62","33","0","0","0","18","13","5","1","0","1","4","1","3","0","0","0","69","47","22","3","1","2","0","0","0","0","0","0","-2"
"110361","California Baptist University","2020","Tenured, associate professors","58","24","34","0","0","0","8","4","4","0","0","0","4","2","2","1","0","1","43","17","26","0","0","0","2","1","1","0","0","0","-2"
"110361","California Baptist University","2020","On-Tenure track total","166","83","83","1","0","1","26","12","14","22","10","12","20","8","12","1","0","1","87","51","36","5","2","3","4","0","4","0","0","0","-2"
"110361","California Baptist University","2020","On-tenure track, professors","16","12","4","0","0","0","4","3","1","2","1","1","1","1","0","0","0","0","9","7","2","0","0","0","0","0","0","0","0","0","-2"
"110361","California Baptist University","2020","On-tenure track, associate professors","46","25","21","1","0","1","11","6","5","3","1","2","4","1","3","0","0","0","25","16","9","1","1","0","1","0","1","0","0","0","-2"
"110361","California Baptist University","2020","On-tenure track, assistant professors","104","46","58","0","0","0","11","3","8","17","8","9","15","6","9","1","0","1","53","28","25","4","1","3","3","0","3","0","0","0","-2"
"110361","California Baptist University","2020","Not on tenure track/No tenure system system total","28","15","13","0","0","0","2","1","1","0","0","0","4","2","2","0","0","0","22","12","10","0","0","0","0","0","0","0","0","0","-2"
"110361","California Baptist University","2020","Not on tenure/no tenure system, instructors","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"110361","California Baptist University","2020","Not on tenure/no tenure system, lecturers","18","10","8","0","0","0","1","1","0","0","0","0","3","1","2","0","0","0","14","8","6","0","0","0","0","0","0","0","0","0","-2"
"110361","California Baptist University","2020","Not on tenure/no tenure system, no academic rank","9","4","5","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","7","3","4","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2020","Tenured total","105","51","54","0","0","0","10","5","5","5","2","3","8","2","6","0","0","0","80","41","39","1","1","0","1","0","1","0","0","0","-2"
"110413","California Lutheran University","2020","Tenured, professors","57","28","29","0","0","0","7","3","4","4","2","2","2","1","1","0","0","0","44","22","22","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2020","Tenured, associate professors","45","20","25","0","0","0","3","2","1","1","0","1","5","0","5","0","0","0","34","17","17","1","1","0","1","0","1","0","0","0","-2"
"110413","California Lutheran University","2020","Tenured, assistant professors","3","3","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2020","On-Tenure track total","36","17","19","0","0","0","7","5","2","3","1","2","9","3","6","0","0","0","11","4","7","2","1","1","0","0","0","4","3","1","-2"
"110413","California Lutheran University","2020","On-tenure track, associate professors","5","2","3","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2020","On-tenure track, assistant professors","29","15","14","0","0","0","6","5","1","3","1","2","7","2","5","0","0","0","8","3","5","2","1","1","0","0","0","3","3","0","-2"
"110413","California Lutheran University","2020","On-tenure track, instructors","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","-2"
"110413","California Lutheran University","2020","Not on tenure track/No tenure system system total","38","19","19","0","0","0","3","1","2","1","0","1","2","1","1","0","0","0","32","17","15","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2020","Not on tenure/no tenure system, professors","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","1","0","0","0","0","0","0","0","0","0","-2"
