"unitid","institution name","year","S2020_IS.Instructional staff category","S2020_IS.Grand total","S2020_IS.Grand total men","S2020_IS.Grand total women","S2020_IS.American Indian or Alaska Native total","S2020_IS.American Indian or Alaska Native men","S2020_IS.American Indian or Alaska Native women","S2020_IS.Asian total","S2020_IS.Asian men","S2020_IS.Asian women","S2020_IS.Black or African American total","S2020_IS.Black or African American men","S2020_IS.Black or African American women","S2020_IS.Hispanic or Latino total","S2020_IS.Hispanic or Latino men","S2020_IS.Hispanic or Latino women","S2020_IS.Native Hawaiian or Other Pacific Islander total","S2020_IS.Native Hawaiian or Other Pacific Islander men","S2020_IS.Native Hawaiian or Other Pacific Islander women","S2020_IS.White total","S2020_IS.White men","S2020_IS.White women","S2020_IS.Two or more races total","S2020_IS.Two or more races men","S2020_IS.Two or more races women","S2020_IS.Race/ethnicity unknown total","S2020_IS.Race/ethnicity unknown men","S2020_IS.Race/ethnicity unknown women","S2020_IS.Nonresident alien total","S2020_IS.Nonresident alien men","S2020_IS.Nonresident alien women","IDX_HR"
"100654","Alabama A & M University","2020","Tenured total","90","63","27","0","0","0","17","10","7","62","46","16","0","0","0","0","0","0","6","3","3","1","0","1","0","0","0","4","4","0","-2"
"100654","Alabama A & M University","2020","Tenured, professors","50","38","12","0","0","0","9","7","2","34","26","8","0","0","0","0","0","0","3","2","1","1","0","1","0","0","0","3","3","0","-2"
"100654","Alabama A & M University","2020","Tenured, associate professors","34","22","12","0","0","0","8","3","5","22","17","5","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","1","1","0","-2"
"100654","Alabama A & M University","2020","Tenured, assistant professors","6","3","3","0","0","0","0","0","0","6","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2020","On-Tenure track total","48","20","28","0","0","0","7","5","2","26","7","19","0","0","0","0","0","0","5","3","2","0","0","0","1","1","0","9","4","5","-2"
"100654","Alabama A & M University","2020","On-tenure track, associate professors","7","5","2","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","2","-2"
"100654","Alabama A & M University","2020","On-tenure track, assistant professors","41","15","26","0","0","0","3","1","2","26","7","19","0","0","0","0","0","0","5","3","2","0","0","0","0","0","0","7","4","3","-2"
"100654","Alabama A & M University","2020","Not on tenure track/No tenure system system total","101","46","55","1","0","1","4","3","1","68","29","39","0","0","0","0","0","0","20","7","13","1","0","1","0","0","0","7","7","0","-2"
"100654","Alabama A & M University","2020","Not on tenure/no tenure system, professors","2","2","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2020","Not on tenure/no tenure system, associate professors","5","4","1","0","0","0","0","0","0","5","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2020","Not on tenure/no tenure system, assistant professors","47","25","22","0","0","0","3","3","0","30","14","16","0","0","0","0","0","0","10","5","5","1","0","1","0","0","0","3","3","0","-2"
"100654","Alabama A & M University","2020","Not on tenure/no tenure system, instructors","40","12","28","1","0","1","1","0","1","27","7","20","0","0","0","0","0","0","7","1","6","0","0","0","0","0","0","4","4","0","-2"
"100654","Alabama A & M University","2020","Not on tenure/no tenure system, no academic rank","7","3","4","0","0","0","0","0","0","4","2","2","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2020","Tenured total","159","122","37","0","0","0","45","40","5","6","4","2","4","3","1","0","0","0","102","74","28","1","0","1","0","0","0","1","1","0","-2"
"100706","University of Alabama in Huntsville","2020","Tenured, professors","74","60","14","0","0","0","21","20","1","4","3","1","1","1","0","0","0","0","47","35","12","0","0","0","0","0","0","1","1","0","-2"
"100706","University of Alabama in Huntsville","2020","Tenured, associate professors","84","62","22","0","0","0","24","20","4","2","1","1","2","2","0","0","0","0","55","39","16","1","0","1","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2020","Tenured, assistant professors","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2020","On-Tenure track total","68","36","32","0","0","0","12","6","6","4","2","2","1","1","0","0","0","0","36","18","18","0","0","0","0","0","0","15","9","6","-2"
"100706","University of Alabama in Huntsville","2020","On-tenure track, associate professors","4","2","2","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2020","On-tenure track, assistant professors","64","34","30","0","0","0","11","5","6","3","1","2","1","1","0","0","0","0","34","18","16","0","0","0","0","0","0","15","9","6","-2"
"100706","University of Alabama in Huntsville","2020","Not on tenure track/No tenure system system total","126","36","90","2","2","0","6","2","4","8","2","6","2","1","1","0","0","0","106","27","79","0","0","0","0","0","0","2","2","0","-2"
"100706","University of Alabama in Huntsville","2020","Not on tenure/no tenure system, professors","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2020","Not on tenure/no tenure system, associate professors","9","3","6","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","7","3","4","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2020","Not on tenure/no tenure system, assistant professors","29","3","26","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","27","3","24","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2020","Not on tenure/no tenure system, instructors","14","2","12","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","11","1","10","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2020","Not on tenure/no tenure system, lecturers","73","28","45","2","2","0","5","2","3","3","1","2","1","1","0","0","0","0","60","20","40","0","0","0","0","0","0","2","2","0","-2"
"100751","The University of Alabama","2020","Tenured total","614","393","221","1","1","0","71","52","19","33","14","19","18","10","8","1","1","0","487","314","173","1","0","1","1","1","0","1","0","1","-2"
"100751","The University of Alabama","2020","Tenured, professors","287","206","81","0","0","0","33","28","5","15","8","7","10","6","4","1","1","0","228","163","65","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2020","Tenured, associate professors","323","185","138","1","1","0","37","23","14","18","6","12","8","4","4","0","0","0","256","150","106","1","0","1","1","1","0","1","0","1","-2"
"100751","The University of Alabama","2020","Tenured, assistant professors","4","2","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2020","On-Tenure track total","384","215","169","3","1","2","46","28","18","31","15","16","9","6","3","2","1","1","242","135","107","0","0","0","0","0","0","51","29","22","-2"
"100751","The University of Alabama","2020","On-tenure track, professors","17","10","7","0","0","0","2","2","0","1","0","1","1","1","0","0","0","0","13","7","6","0","0","0","0","0","0","0","0","0","-2"
"100751","The University of Alabama","2020","On-tenure track, associate professors","25","20","5","0","0","0","3","3","0","3","3","0","0","0","0","0","0","0","16","11","5","0","0","0","0","0","0","3","3","0","-2"
"100751","The University of Alabama","2020","On-tenure track, assistant professors","342","185","157","3","1","2","41","23","18","27","12","15","8","5","3","2","1","1","213","117","96","0","0","0","0","0","0","48","26","22","-2"
