"unitid","institution name","year","C2019_A.First or Second Major","C2019_A.CIP Code -  2010 Classification","CipTitle","C2019_A.Award Level code","C2019_A_RV.Grand total","C2019_A_RV.Grand total men","C2019_A_RV.Grand total women","C2019_A_RV.American Indian or Alaska Native total","C2019_A_RV.American Indian or Alaska Native men","C2019_A_RV.American Indian or Alaska Native women","C2019_A_RV.Asian total","C2019_A_RV.Asian men","C2019_A_RV.Asian women","C2019_A_RV.Black or African American total","C2019_A_RV.Black or African American men","C2019_A_RV.Black or African American women","C2019_A_RV.Hispanic or Latino total","C2019_A_RV.Hispanic or Latino men","C2019_A_RV.Hispanic or Latino women","C2019_A_RV.Native Hawaiian or Other Pacific Islander total","C2019_A_RV.Native Hawaiian or Other Pacific Islander men","C2019_A_RV.Native Hawaiian or Other Pacific Islander women","C2019_A_RV.White total","C2019_A_RV.White men","C2019_A_RV.White women","C2019_A_RV.Two or more races total","C2019_A_RV.Two or more races men","C2019_A_RV.Two or more races women","C2019_A_RV.Race/ethnicity unknown total","C2019_A_RV.Race/ethnicity unknown men","C2019_A_RV.Race/ethnicity unknown women","C2019_A_RV.Nonresident alien total","C2019_A_RV.Nonresident alien men","C2019_A_RV.Nonresident alien women","IDX_C"
"110097","Biola University","2019","First major","'40'","Physical Sciences","Bachelor's degree","7","5","2","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","3","3","0","1","1","0","1","0","1","0","0","0","-2"
"110097","Biola University","2019","First major","'40'","Physical Sciences","Degrees total","7","5","2","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","3","3","0","1","1","0","1","0","1","0","0","0","-2"
"110097","Biola University","2019","First major","'40'","Physical Sciences","Degrees/certificates total","7","5","2","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","3","3","0","1","1","0","1","0","1","0","0","0","-2"
"110097","Biola University","2019","First major","'40.01'","Physical Sciences","Bachelor's degree","3","2","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","-2"
"110097","Biola University","2019","First major","'40.01'","Physical Sciences","Degrees total","3","2","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","-2"
"110097","Biola University","2019","First major","'40.01'","Physical Sciences","Degrees/certificates total","3","2","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","-2"
"110097","Biola University","2019","First major","'40.0101'","Physical Sciences","Bachelor's degree","3","2","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","-2"
"110097","Biola University","2019","First major","'40.0101'","Physical Sciences","Degrees total","3","2","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","-2"
"110097","Biola University","2019","First major","'40.0101'","Physical Sciences","Degrees/certificates total","3","2","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","-2"
"110097","Biola University","2019","First major","'40.05'","Chemistry","Bachelor's degree","2","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2019","First major","'40.05'","Chemistry","Degrees total","2","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2019","First major","'40.05'","Chemistry","Degrees/certificates total","2","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2019","First major","'40.0501'","Chemistry, General","Bachelor's degree","2","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2019","First major","'40.0501'","Chemistry, General","Degrees total","2","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2019","First major","'40.0501'","Chemistry, General","Degrees/certificates total","2","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2019","First major","'40.08'","Physics","Bachelor's degree","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","-2"
"110097","Biola University","2019","First major","'40.08'","Physics","Degrees total","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","-2"
"110097","Biola University","2019","First major","'40.08'","Physics","Degrees/certificates total","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","-2"
"110097","Biola University","2019","First major","'40.0801'","Physics, General","Bachelor's degree","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","-2"
"110097","Biola University","2019","First major","'40.0801'","Physics, General","Degrees total","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","-2"
