"unitid","institution name","year","C2018_A.First or Second Major","C2018_A.CIP Code -  2010 Classification","CipTitle","C2018_A.Award Level code","C2018_A_RV.Grand total","C2018_A_RV.Grand total men","C2018_A_RV.Grand total women","C2018_A_RV.American Indian or Alaska Native total","C2018_A_RV.American Indian or Alaska Native men","C2018_A_RV.American Indian or Alaska Native women","C2018_A_RV.Asian total","C2018_A_RV.Asian men","C2018_A_RV.Asian women","C2018_A_RV.Black or African American total","C2018_A_RV.Black or African American men","C2018_A_RV.Black or African American women","C2018_A_RV.Hispanic or Latino total","C2018_A_RV.Hispanic or Latino men","C2018_A_RV.Hispanic or Latino women","C2018_A_RV.Native Hawaiian or Other Pacific Islander total","C2018_A_RV.Native Hawaiian or Other Pacific Islander men","C2018_A_RV.Native Hawaiian or Other Pacific Islander women","C2018_A_RV.White total","C2018_A_RV.White men","C2018_A_RV.White women","C2018_A_RV.Two or more races total","C2018_A_RV.Two or more races men","C2018_A_RV.Two or more races women","C2018_A_RV.Race/ethnicity unknown total","C2018_A_RV.Race/ethnicity unknown men","C2018_A_RV.Race/ethnicity unknown women","C2018_A_RV.Nonresident alien total","C2018_A_RV.Nonresident alien men","C2018_A_RV.Nonresident alien women","IDX_C"
"109350","Antelope Valley College","2018","First major","'40'","Physical Sciences","Associate's degree","73","42","31","0","0","0","9","2","7","2","1","1","42","26","16","0","0","0","17","12","5","2","1","1","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2018","First major","'40'","Physical Sciences","Degrees total","73","42","31","0","0","0","9","2","7","2","1","1","42","26","16","0","0","0","17","12","5","2","1","1","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2018","First major","'40'","Physical Sciences","Degrees/certificates total","73","42","31","0","0","0","9","2","7","2","1","1","42","26","16","0","0","0","17","12","5","2","1","1","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2018","First major","'40.01'","Physical Sciences","Associate's degree","31","14","17","0","0","0","5","1","4","0","0","0","18","9","9","0","0","0","6","4","2","1","0","1","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2018","First major","'40.01'","Physical Sciences","Degrees total","31","14","17","0","0","0","5","1","4","0","0","0","18","9","9","0","0","0","6","4","2","1","0","1","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2018","First major","'40.01'","Physical Sciences","Degrees/certificates total","31","14","17","0","0","0","5","1","4","0","0","0","18","9","9","0","0","0","6","4","2","1","0","1","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2018","First major","'40.0101'","Physical Sciences","Associate's degree","31","14","17","0","0","0","5","1","4","0","0","0","18","9","9","0","0","0","6","4","2","1","0","1","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2018","First major","'40.0101'","Physical Sciences","Degrees total","31","14","17","0","0","0","5","1","4","0","0","0","18","9","9","0","0","0","6","4","2","1","0","1","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2018","First major","'40.0101'","Physical Sciences","Degrees/certificates total","31","14","17","0","0","0","5","1","4","0","0","0","18","9","9","0","0","0","6","4","2","1","0","1","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2018","First major","'40.05'","Chemistry","Associate's degree","16","9","7","0","0","0","1","0","1","1","0","1","9","5","4","0","0","0","5","4","1","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2018","First major","'40.05'","Chemistry","Degrees total","16","9","7","0","0","0","1","0","1","1","0","1","9","5","4","0","0","0","5","4","1","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2018","First major","'40.05'","Chemistry","Degrees/certificates total","16","9","7","0","0","0","1","0","1","1","0","1","9","5","4","0","0","0","5","4","1","0","0","0","0","0","0","0","0","0","-2"
