"unitid","institution name","year","S2011_F.Tenure status and academic rank of full-time instruction/research/public service staff","S2011_F_RV.Grand total","S2011_F_RV.Grand total men","S2011_F_RV.Grand total women","S2011_F_RV.American Indian or Alaska Native total","S2011_F_RV.American Indian or Alaska Native men","S2011_F_RV.American Indian or Alaska Native women","S2011_F_RV.Asian total","S2011_F_RV.Asian men","S2011_F_RV.Asian women","S2011_F_RV.Black or African American total","S2011_F_RV.Black or African American men","S2011_F_RV.Black or African American women","S2011_F_RV.Hispanic or Latino total","S2011_F_RV.Hispanic or Latino men","S2011_F_RV.Hispanic or Latino women","S2011_F_RV.Native Hawaiian or Other Pacific Islander total","S2011_F_RV.Native Hawaiian or Other Pacific Islander men","S2011_F_RV.Native Hawaiian or Other Pacific Islander women","S2011_F_RV.White total","S2011_F_RV.White men","S2011_F_RV.White women","S2011_F_RV.Two or more races total","S2011_F_RV.Two or more races men","S2011_F_RV.Two or more races women","S2011_F_RV.Race/ethnicity unknown total","S2011_F_RV.Race/ethnicity unknown men","S2011_F_RV.Race/ethnicity unknown women","S2011_F_RV.Nonresident alien total","S2011_F_RV.Nonresident alien men","S2011_F_RV.Nonresident alien women","IDX_HR"
"100654","Alabama A & M University","2011","Total full-time Instruction/research/public service, Tenured, Professors","39","25","14","0","0","0","3","3","0","32","22","10","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","1","0","1","-2"
"100654","Alabama A & M University","2011","Total full-time Instruction/research/public service, Tenured, Associate professors","38","29","9","0","0","0","5","5","0","30","23","7","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","1","1","0","-2"
"100654","Alabama A & M University","2011","Total full-time Instruction/research/public service, Tenured, Assistant professors","32","20","12","0","0","0","1","0","1","31","20","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2011","Total full-time Instruction/research/public service, Tenured total","109","74","35","0","0","0","9","8","1","93","65","28","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","2","1","1","-2"
"100654","Alabama A & M University","2011","Total full-time Instruction/research/public service, Non-tenured on tenure track, Professors","7","6","1","0","0","0","1","0","1","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2011","Total full-time Instruction/research/public service, Non-tenured on tenure track, Associate professors","12","8","4","0","0","0","2","1","1","10","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2011","Total full-time Instruction/research/public service, Non-tenured on tenure track, Assistant professors","20","10","10","0","0","0","2","0","2","17","10","7","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2011","Total full-time Instruction/research/public service, Non-tenured on tenure track, Instructors","4","3","1","0","0","0","0","0","0","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2011","Total full-time Instruction/research/public service, Non-tenured on tenure track total","43","27","16","0","0","0","5","1","4","37","26","11","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2011","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Professors","3","1","2","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
