"unitid","institution name","year","S2011_F.Tenure status and academic rank of full-time instruction/research/public service staff","S2011_F_RV.Grand total","S2011_F_RV.Grand total men","S2011_F_RV.Grand total women","S2011_F_RV.American Indian or Alaska Native total","S2011_F_RV.American Indian or Alaska Native men","S2011_F_RV.American Indian or Alaska Native women","S2011_F_RV.Asian total","S2011_F_RV.Asian men","S2011_F_RV.Asian women","S2011_F_RV.Black or African American total","S2011_F_RV.Black or African American men","S2011_F_RV.Black or African American women","S2011_F_RV.Hispanic or Latino total","S2011_F_RV.Hispanic or Latino men","S2011_F_RV.Hispanic or Latino women","S2011_F_RV.Native Hawaiian or Other Pacific Islander total","S2011_F_RV.Native Hawaiian or Other Pacific Islander men","S2011_F_RV.Native Hawaiian or Other Pacific Islander women","S2011_F_RV.White total","S2011_F_RV.White men","S2011_F_RV.White women","S2011_F_RV.Two or more races total","S2011_F_RV.Two or more races men","S2011_F_RV.Two or more races women","S2011_F_RV.Race/ethnicity unknown total","S2011_F_RV.Race/ethnicity unknown men","S2011_F_RV.Race/ethnicity unknown women","S2011_F_RV.Nonresident alien total","S2011_F_RV.Nonresident alien men","S2011_F_RV.Nonresident alien women","IDX_HR"
"105367","Ottawa University-Phoenix","2011","Total full-time Instruction/research/public service, Tenured, Professors","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2011","Total full-time Instruction/research/public service, Tenured, Associate professors","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2011","Total full-time Instruction/research/public service, Tenured, Assistant professors","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2011","Total full-time Instruction/research/public service, Tenured total","5","1","4","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","4","1","3","0","0","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2011","Total full-time Instruction/research/public servicey, Non-tenured not on tenure track, Assistant professors","3","0","3","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2011","Total full-time Instruction/research/public service, Non-tenured not on tenure track total","3","0","3","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2011","Total full-time Instruction/research/public service, Tenured, Professors","72","32","40","1","1","0","2","1","1","6","2","4","3","1","2","0","0","0","58","26","32","0","0","0","2","1","1","0","0","0","-2"
"109350","Antelope Valley College","2011","Total full-time Instruction/research/public service, Tenured, Associate professors","24","15","9","0","0","0","2","1","1","0","0","0","5","4","1","0","0","0","16","9","7","0","0","0","1","1","0","0","0","0","-2"
"109350","Antelope Valley College","2011","Total full-time Instruction/research/public service, Tenured, Assistant professors","8","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","8","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2011","Total full-time Instruction/research/public service, Tenured, Instructors","64","36","28","0","0","0","3","3","0","4","2","2","6","3","3","0","0","0","48","27","21","0","0","0","3","1","2","0","0","0","-2"
