"unitid","institution name","year","C2020_A.First or Second Major","C2020_A.CIP Code -  2020 Classification","CipTitle","C2020_A.Award Level code","C2020_A.Grand total","C2020_A.Grand total men","C2020_A.Grand total women","C2020_A.American Indian or Alaska Native total","C2020_A.American Indian or Alaska Native men","C2020_A.American Indian or Alaska Native women","C2020_A.Asian total","C2020_A.Asian men","C2020_A.Asian women","C2020_A.Black or African American total","C2020_A.Black or African American men","C2020_A.Black or African American women","C2020_A.Hispanic or Latino total","C2020_A.Hispanic or Latino men","C2020_A.Hispanic or Latino women","C2020_A.Native Hawaiian or Other Pacific Islander total","C2020_A.Native Hawaiian or Other Pacific Islander men","C2020_A.Native Hawaiian or Other Pacific Islander women","C2020_A.White total","C2020_A.White men","C2020_A.White women","C2020_A.Two or more races total","C2020_A.Two or more races men","C2020_A.Two or more races women","C2020_A.Race/ethnicity unknown total","C2020_A.Race/ethnicity unknown men","C2020_A.Race/ethnicity unknown women","C2020_A.Nonresident alien total","C2020_A.Nonresident alien men","C2020_A.Nonresident alien women","IDX_C"
"100654","Alabama A & M University","2020","First major","'40'","Physical Sciences","Bachelor's degree","12","2","10","0","0","0","0","0","0","12","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2020","First major","'40'","Physical Sciences","Master's degree","4","1","3","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","-2"
"100654","Alabama A & M University","2020","First major","'40'","Physical Sciences","Degrees total","19","6","13","0","0","0","1","1","0","17","5","12","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","-2"
"100654","Alabama A & M University","2020","First major","'40'","Physical Sciences","Degrees/certificates total","19","6","13","0","0","0","1","1","0","17","5","12","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","-2"
"100654","Alabama A & M University","2020","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship","3","3","0","0","0","0","1","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2020","First major","'40.05'","Chemistry","Bachelor's degree","9","0","9","0","0","0","0","0","0","9","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2020","First major","'40.05'","Chemistry","Degrees total","9","0","9","0","0","0","0","0","0","9","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2020","First major","'40.05'","Chemistry","Degrees/certificates total","9","0","9","0","0","0","0","0","0","9","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2020","First major","'40.0501'","Chemistry, General","Bachelor's degree","9","0","9","0","0","0","0","0","0","9","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2020","First major","'40.0501'","Chemistry, General","Degrees total","9","0","9","0","0","0","0","0","0","9","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
