"unitid","institution name","year","C2014_A.First or Second Major","C2014_A.CIP Code -  2010 Classification","CipTitle","C2014_A.Award Level code","C2014_A_RV.Grand total","C2014_A_RV.Grand total men","C2014_A_RV.Grand total women","C2014_A_RV.American Indian or Alaska Native total","C2014_A_RV.American Indian or Alaska Native men","C2014_A_RV.American Indian or Alaska Native women","C2014_A_RV.Asian total","C2014_A_RV.Asian men","C2014_A_RV.Asian women","C2014_A_RV.Black or African American total","C2014_A_RV.Black or African American men","C2014_A_RV.Black or African American women","C2014_A_RV.Hispanic or Latino total","C2014_A_RV.Hispanic or Latino men","C2014_A_RV.Hispanic or Latino women","C2014_A_RV.Native Hawaiian or Other Pacific Islander total","C2014_A_RV.Native Hawaiian or Other Pacific Islander men","C2014_A_RV.Native Hawaiian or Other Pacific Islander women","C2014_A_RV.White total","C2014_A_RV.White men","C2014_A_RV.White women","C2014_A_RV.Two or more races total","C2014_A_RV.Two or more races men","C2014_A_RV.Two or more races women","C2014_A_RV.Race/ethnicity unknown total","C2014_A_RV.Race/ethnicity unknown men","C2014_A_RV.Race/ethnicity unknown women","C2014_A_RV.Nonresident alien total","C2014_A_RV.Nonresident alien men","C2014_A_RV.Nonresident alien women","IDX_C"
"109350","Antelope Valley College","2014","First major","'40'","Physical Sciences","Associate's degree","35","19","16","0","0","0","7","5","2","1","1","0","18","7","11","0","0","0","6","4","2","0","0","0","2","2","0","1","0","1","-2"
"109350","Antelope Valley College","2014","First major","'40'","Physical Sciences","Degrees total","35","19","16","0","0","0","7","5","2","1","1","0","18","7","11","0","0","0","6","4","2","0","0","0","2","2","0","1","0","1","-2"
"109350","Antelope Valley College","2014","First major","'40'","Physical Sciences","Degrees/certificates total","35","19","16","0","0","0","7","5","2","1","1","0","18","7","11","0","0","0","6","4","2","0","0","0","2","2","0","1","0","1","-2"
"109350","Antelope Valley College","2014","First major","'40.01'","Physical Sciences","Associate's degree","35","19","16","0","0","0","7","5","2","1","1","0","18","7","11","0","0","0","6","4","2","0","0","0","2","2","0","1","0","1","-2"
"109350","Antelope Valley College","2014","First major","'40.01'","Physical Sciences","Degrees total","35","19","16","0","0","0","7","5","2","1","1","0","18","7","11","0","0","0","6","4","2","0","0","0","2","2","0","1","0","1","-2"
"109350","Antelope Valley College","2014","First major","'40.01'","Physical Sciences","Degrees/certificates total","35","19","16","0","0","0","7","5","2","1","1","0","18","7","11","0","0","0","6","4","2","0","0","0","2","2","0","1","0","1","-2"
"109350","Antelope Valley College","2014","First major","'40.0101'","Physical Sciences","Associate's degree","35","19","16","0","0","0","7","5","2","1","1","0","18","7","11","0","0","0","6","4","2","0","0","0","2","2","0","1","0","1","-2"
"109350","Antelope Valley College","2014","First major","'40.0101'","Physical Sciences","Degrees total","35","19","16","0","0","0","7","5","2","1","1","0","18","7","11","0","0","0","6","4","2","0","0","0","2","2","0","1","0","1","-2"
"109350","Antelope Valley College","2014","First major","'40.0101'","Physical Sciences","Degrees/certificates total","35","19","16","0","0","0","7","5","2","1","1","0","18","7","11","0","0","0","6","4","2","0","0","0","2","2","0","1","0","1","-2"
"109785","Azusa Pacific University","2014","First major","'40'","Physical Sciences","Bachelor's degree","12","9","3","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","9","8","1","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40'","Physical Sciences","Degrees total","12","9","3","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","9","8","1","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40'","Physical Sciences","Degrees/certificates total","12","9","3","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","9","8","1","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40.05'","Chemistry","Bachelor's degree","5","2","3","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40.05'","Chemistry","Degrees total","5","2","3","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40.05'","Chemistry","Degrees/certificates total","5","2","3","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40.0501'","Chemistry, General","Bachelor's degree","5","2","3","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40.0501'","Chemistry, General","Degrees total","5","2","3","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40.0501'","Chemistry, General","Degrees/certificates total","5","2","3","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40.99'","Physical Sciences, Other","Bachelor's degree","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40.99'","Physical Sciences, Other","Degrees total","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40.99'","Physical Sciences, Other","Degrees/certificates total","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40.9999'","Physical Sciences, Other","Bachelor's degree","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40.9999'","Physical Sciences, Other","Degrees total","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","First major","'40.9999'","Physical Sciences, Other","Degrees/certificates total","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","Second major","'40'","Physical Sciences","Bachelor's degree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","Second major","'40'","Physical Sciences","Degrees total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","Second major","'40'","Physical Sciences","Degrees/certificates total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2014","Second major","'40.05'","Chemistry","Bachelor's degree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
